brand_name,product_name,asin,price,overall_rating,reviewer_username,review_date,review_rating,r-12-date-txt1,r-12-date-txt2,r-12-date-txt3,r-12-date-txt4,r-12-date-txt5,r-12-date-txt6,r-12-date-txt7,r-12-date-txt8,r-12-date-txt9,r-12-date-txt10,r-12-date-txt11,r-12-date-txt12,r-12-date-txt13,r-12-date-txt14,r-12-date-txt15,r-12-date-txt16,r-12-date-txt17,r-12-date-txt18,r-12-date-txt19,r-12-date-txt20,r-12-date-txt21,r-12-date-txt22,r-12-date-txt23,r-12-date-txt24,r-12-date-txt25,r-12-date-txt26,r-12-date-txt27,r-12-date-txt28,r-12-date-txt29,r-12-date-txt30,r-12-date-txt31,r-12-date-txt32,r-12-date-txt33,r-12-date-txt34,r-12-date-txt35,r-12-date-txt36,r-12-date-txt37,r-12-date-txt38,r-12-date-txt39,r-12-date-txt40,r-12-date-txt41,r-12-date-txt42,r-12-date-txt43,r-12-date-txt44,r-12-date-txt45,r-12-date-txt46,r-12-date-txt47,r-12-date-txt48,r-12-date-txt49,r-12-date-txt50,r-12-date-txt51,r-12-date-txt52,r-12-date-txt53,r-12-date-txt54,r-12-date-txt55,r-12-date-txt56,r-12-date-txt57,r-12-date-txt58,r-12-date-txt59,r-12-date-txt60,r-12-date-txt61,r-12-date-txt62,r-12-date-txt63,r-12-date-txt64,r-12-date-txt65,r-12-date-txt66,r-12-date-txt67,r-12-date-txt68,r-12-date-txt69,r-12-date-txt70,r-12-date-txt71,r-12-date-txt72,r-12-date-txt73,r-12-date-txt74,r-12-date-txt75,r-12-date-txt76,r-12-date-txt77,r-12-date-txt78,r-12-date-txt79,r-12-date-txt80,r-12-date-txt81,r-12-date-txt82,r-12-date-txt83,r-12-date-txt84,r-12-date-txt85,r-12-date-txt86,r-12-date-txt87,r-12-date-txt88,r-12-date-txt89,r-12-date-txt90,r-12-date-txt91,r-12-date-txt92,r-12-date-txt93,r-12-date-txt94,r-12-date-txt95,r-12-date-txt96,r-12-date-txt97,r-12-date-txt98,r-12-date-txt99,r-12-date-txt100,r-12-date-txt101,r-12-date-txt102,r-12-date-txt103,r-12-date-txt104,r-12-date-txt105,r-12-date-txt106,r-12-date-txt107,r-12-date-txt108,r-12-date-txt109,r-12-date-txt110,r-12-date-txt111,r-12-date-txt112,r-12-date-txt113,r-12-date-txt114,r-12-date-txt115,r-12-date-txt116,r-12-date-txt117,r-12-date-txt118,r-12-date-txt119,r-12-date-txt120,r-12-date-txt121,r-12-date-txt122,r-12-date-txt123,r-12-date-txt124,r-12-date-txt125,r-12-date-txt126,r-12-date-txt127,r-12-date-txt128,r-12-date-txt129,r-12-date-txt130,r-12-date-txt131,r-12-date-txt132,r-12-date-txt133,r-12-date-txt134,r-12-date-txt135,r-12-date-txt136,r-12-date-txt137,r-12-date-txt138,r-12-date-txt139,r-12-date-txt140,r-12-date-txt141,r-12-date-txt142,r-12-date-txt143,r-12-date-txt144,r-12-date-txt145,r-12-date-txt146,r-12-date-txt147,r-12-date-txt148,r-12-date-txt149,r-12-date-txt150,r-12-date-txt151,r-12-date-txt152,r-12-date-txt153,r-12-date-txt154,r-12-date-txt155,r-12-date-txt156,r-12-date-txt157,r-12-date-txt158,r-12-date-txt159,r-12-date-txt160,r-12-date-txt161,r-12-date-txt162,r-12-date-txt163,r-12-date-txt164,r-12-date-txt165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,enthuz,9-Jun-21,1,Toxic,chemical,plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Nyc DogWalker,22-May-21,1,This,is,the,second,time,in,a,number,of,months,that,I've,ordered,this,product,advertised,as,frozen,but,it's,come,just,chilled,and,soft,The,plan,had,been,to,put,it,directly,into,the,freezer,for,next,weekend,however,you,cannot,#NAME?,it,(says,so,right,on,the,package),so,I,am,stuck,with,veggie,burger,material,for,grandkids,a,week,before,they,come,for,burgers,Amazon,did,promptly,refund,but,that,doesn't,solve,my,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Artist and Designer,11-May-21,1,I,like,the,impossible,meat,and,thought,this,would,be,comparable,While,cooking,it,my,husband,asked,me,what,the,smell,was,Once,we,ate,we,confirmed,it,tasted,as,bed,as,it,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,leighfabozzi,10-May-21,1,I,have,tried,their,burgers,and,ground,meat,They,both,have,this,distinct,flavor(,it,is,not,a,pleasant,one),they,kinda,taste,the,way,they,smell,Also,they,were,very,oily,I,did,not,like,they,at,all,(,i,am,a,meat,eater),My,mom,jas,been,pescatarian,for,20+yrs,and,she,loves,their,products,(,agrees,with,the,oiliness),So,it,up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sonte T,2-May-21,1,Only,for,fanatics,who,crave,tasteless,off,fake,meats,Donâ€™t,believe,the,hype,Just,awful,Maybe,better,in,the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,annegrete,25-Apr-21,2,I,came,here,because,I,smelled,catfood,every,time,I,used,it,and,I,am,SO,glad,that,I'm,not,the,only,one,The,texture,and,flavor,is,not,like,real,meat,I,was,thinking,it,might,be,like,the,impossible,burger,which,I,actually,do,think,is,a,pleasurable,meat,substitute,I,made,a,burger,some,tacos,and,meatballs,each,time,I,used,it,I,found,myself,being,more,and,more,liberal,with,the,seasoning,as,the,flavor,of,the,product,by,itself,was,not,as,good,as,I,was,hoping,It,seems,like,this,will,work,fine,in,dishes,where,the,meat,isn't,the,main,star,I,don't,think,it's,terrible,but,I,won't,be,buying,it,again,Hoping,for,a,great,substitute,for,meat,one,day,and,it,seems,like,we,are,working,in,the,right,direction,but,it's,not,the,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Ahn Medek,30-Mar-21,1,What,The,Ew,That,funky,smell,that,funky,taste,It,permeates,everything,Itâ€™s,so,gross,I,usually,make,my,meatballs,with,half,ground,beef,half,sweet,Italian,chicken,sausage,This,time,I,substituted,just,the,beef,for,beyond,beef,So,you,would,think,that,with,the,other,half,of,the,recipe,unchanged,the,effect,would,be,mitigated,NOPE,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Juan,21-Mar-21,1,This,meat,really,tasted,nasty,the,smell,the,taste,itâ€™s,like,eating,plastic,cardboard,Also,you,can,see,all,the,white,chunks,of,fat,they,put,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sarah,26-Feb-21,2,Has,a,ton,of,sodium,compared,to,raw,meat,with,no,flavoring,This,is,why,most,people,probably,like,it,Glorified,sal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sam,17-Feb-21,1,I,cooked,this,in,a,frying,pan,for,taco,filling,I,could,not,get,past,the,smell,It,was,reminiscent,of,boiled,oatmeal,but,in,a,bad,way,I,bravely,gave,it,a,go,and,tried,it,in,the,tacos,but,only,was,able,to,eat,it,because,of,the,taco,toppings,Never,bought,it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Kaneatha Reneau Raleigh,17-Feb-21,1,Probably,one,of,the,nastiest,things,I,have,ever,tasted,in,my,life,I,would,not,recommend,AT,all,No,amount,of,seasoning,or,spices,or,sauces,could,mask,the,disgusting,taste,Terrible,Simple,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Dominic,13-Feb-21,1,This,was,my,first,time,ordering,â€œbeyondâ€,products,and,I,am,not,sure,if,that,is,how,itâ€™s,supposed,to,smell,but,it,was,terrible,I,couldnâ€™t,even,get,myself,to,taste,it,It,smelled,so,bad,even,after,cooking,it,The,expiration,date,was,not,even,close,so,maybe,I,got,a,bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Cheryl Martin,4-Feb-21,1,Itâ€™s,not,as,good,as,everyone,says,it,is,Iâ€™ve,tried,different,brands,of,vegan,â€œmeatâ€,and,this,one,was,the,most,off,putting,Everything,from,the,smell,to,the,texture,and,taste,I,tried,seasoning,the,taste,away,with,everything,Iâ€™ve,got,but,itâ€™s,no,use,the,taste,is,like,an,oily,processed,#NAME?,textured-,piece,of,goop,Its,so,weird,If,thatâ€™s,your,thing,then,go,for,it!,But,take,it,from,a,person,that,isnâ€™t,a,picky,eater,at,all,this,beyond,meat,is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,-_-,2-Feb-21,1,Oh,my,gosh,this,is,one,of,the,worst,smelling,things,I,have,EVER,smelled!!!!,I,gagged,repeatedly,while,trying,to,cook,this,and,ended,up,taking,it,OUTSIDE,to,throw,it,away,and,spent,the,next,hour,trying,to,get,the,smell,out,of,the,house,Maybe,itâ€™s,just,me,but,the,smell,is,this,product,is,absolutely,horrible,and,I,do,not,re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Kartik Krishnan,23-Jan-21,2,My,husband,and,I,are,trying,to,cut,down,on,our,meat,intake,so,I,decided,to,try,some,meatless,'meat',options,I,can't,eat,soy,protein,so,we,went,with,Beyond,The,smell,was,a,bit,offputting,when,I,opened,the,package,but,I,hoped,it,would,dissipate,once,cooked,The,'meat',browned,somewhat,but,not,like,regular,ground,The,texture,was,not,bad,but,the,flavor,with,just,salt,and,pepper,was,quite,strange,My,husband,and,I,decided,to,make,a,curry,with,the,'meat',as,we,thought,the,strange,taste/smell,would,be,taken,over,by,the,spices,I,was,only,partially,correct,The,curry,did,improve,the,flavor,but,only,slightly,With,each,bite,the,strange,flavor,in,my,mouth,only,grew,After,5-Apr,small,bites,I,had,to,stop,eating,My,husband,finished,his,plate,but,struggled,to,eat,his,leftovers,the,next,day,I,hope,in,the,next,few,years,that,meatless,'meat',improves,Until,then,I,am,steering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sheri Rossman,4-Jan-21,1,Smell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Hans Delbrook,11-Nov-20,1,The,fact,that,I,canâ€™t,give,this,less,than,one,star,is,tragic,Absolutely,horrible,from,opening,the,package,to,attempting,to,eat,to,the,aftertaste,There,is,no,chance,I,could,ever,buy,this,again,or,recommend,it,to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Elahielahe,11-Nov-20,1,not,cool,when,arrived,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Justin,10-Nov-20,1,This,was,pretty,bad,I,ended,up,throwing,out,the,nachos,I,made,and,couldn't,bring,myself,to,bring,any,of,the,leftover,meat,Pretty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Dmendez,23-Oct-20,1,Smells,absolutely,atrocious,Smell,lingers,forever,So,many,better,meat,alternatives,tha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beyond Meat,"Beyond Meat from PlantBased Frozen oz lb. Package, Ground Beef Substitute, 16 Ounce",,10.29,4.6,Sergiu,22-Oct-20,1,I,tried,not,my,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
